division,team_name,team_short,team_logo,final_result,final_position,final_record,group,founded_year
División 4,VentuCorp Gods,,/logos/ventucorp_gods.png,,,,Grupo D,
División 4,Koryu Budo Arashi,,/logos/koryu_budo_arashi.png,,,,Grupo D,
División 4,NEO GLORY,,/logos/neo_glory.png,,,,Grupo A,
División 4,HellFire Ascended,,/logos/hellfire_ascended.jpg,,,,Grupo B,
División 4,ZRYN esports,,/logos/zryn_esports.jpg,,,,Grupo A,
División 4,404 Legion,,/logos/404_legion.png,,,,Grupo D,
División 4,404 Nexus,,/logos/404_nexus.PNG,,,,Grupo C,
División 4,404 Legacy,,/logos/404_legacy.jpg,,,,Grupo B,
División 4,404 Academy,,/logos/404_academy.png,,,,Grupo A,
División 4,Zenturions,,/logos/zenturions.jpg,,,,Grupo D,
División 4,Black Bird Abyss,,/logos/black_bird_abyss.jpg,,,,Grupo A,
División 4,Malas Lenguas,,/logos/malas_lenguas.png,,,,Grupo B,
División 4,ROSES IN SPRING Blue,,/logos/roses_in_spring_blue.png,,,,Grupo B,
División 4,Uniovi eSports,,/logos/uniovi_esports.png,,,,Grupo A,
División 4,NX5 eSports White,,/logos/nx5_esports_white.png,,,,Grupo A,
División 4,NX5 eSports Black,,/logos/nx5_esports_black.png,,,,Grupo B,
División 4,PANTUMAKA GANG,,/logos/pantumaka_gang.jpg,,,,Grupo C,
División 4,DimoniX ACADEMY,,/logos/dimonix_academy.jpg,,,,Grupo C,
División 4,Los que te cuento,,/logos/los_que_te_cuento.png,,,,Grupo B,
División 4,CSN Corvo,,/logos/csn_corvo.webp,,,,Grupo D,
División 4,Noctumbra,,/logos/noctumbra.png,,,,Grupo C,
División 4,ROSES IN SPRING White,,/logos/roses_in_spring_white.png,,,,Grupo A,
División 4,RAI RAI Esports,,/logos/rai_rai_esports.png,,,,Grupo C,
División 4,ALOS eSports,,/logos/alos_esports.png,,,,Grupo D,
División 4,Clover eSports,,/logos/clover_esports.jpg,,,,Grupo C,
División 4,Rising Birds Redux,,/logos/rising_birds_redux.png,,,,Grupo B,
División 5,PorKs,,/logos/porks.png,,,,Grupo C,
División 5,TOPSMURF,,/logos/topsmurf.jpg,,,,Grupo B,
División 5,FAKTOR K,,/logos/faktor_k.png,,,,Grupo C,
División 5,PTS,,/logos/pts.png,,,,Grupo B,
División 5,Low Elo Trash,,/logos/low_elo_trash.jpg,,,,Grupo A,
División 5,Siqui Army,,/logos/siqui_army.jpg,,,,Grupo C,
División 5,LUNARIS GAMING,,/logos/lunaris_gaming.jpeg,,,,Grupo B,
División 5,HARAM,,,,,,Grupo B,
División 5,Tanguita del Joker,,/logos/tanguita_del_joker.jpg,,,,Grupo D,
División 5,Loco Wasa Truncapingas,,/logos/loco_wasa_truncapingas.png,,,,Grupo A,
División 5,Supernova Crypt,,/logos/supernova_crypt.png,,,,Grupo B,
División 5,Isidro Gamos Alcura,,,,,,Grupo C,
División 5,404 Rising,,/logos/404_rising.PNG,,,,Grupo C,
División 5,SUSTRAI,,/logos/sustrai.png,,,,Grupo C,
División 5,Shadow Uniovi eSports,,/logos/shadow_uniovi_esports.png,,,,Grupo D,
División 5,La 33,,/logos/la_33.png,,,,Grupo D,
División 5,Vyronx Panda,,/logos/vyronx_panda.png,,,,Grupo A,
División 5,VyronX,,/logos/vyronx.png,,,,Grupo C,
División 5,Aceituna Gaming,,/logos/aceituna_gaming.png,,,,Grupo D,
División 5,La Mezquita,,/logos/la_mezquita.png,,,,Grupo D,
División 5,ROSES IN SPRING Red,,/logos/roses_in_spring_red.png,,,,Grupo A,
División 5,VDK Abyssal,,/logos/vdk_abyssal.png,,,,Grupo A,
División 5,Nexus Gambit,,/logos/nexus_gambit.png,,,,Grupo C,
División 5,Mega Pollo Generation Shinobi,,/logos/mega_pollo_generation_shinobi.jpg,,,,Grupo A,
División 5,Helldogs,,/logos/helldogs.png,,,,Grupo B,
División 5,Hellfire Academy,,/logos/hellfire_academy.jpg,,,,Grupo A,
División 5,Fuji Fenix,,/logos/fuji_fenix.png,,,,Grupo B,
División 5,VyronX Lion,,/logos/vyronx_lion.png,,,,Grupo D,
División 5,Los Ratones Perez,,/logos/los_ratones_perez.png,,,,Grupo B,
